,result,table,_start,_stop,_value,session_id,_time
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:07:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:08:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:08:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:09:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:09:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:10:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:10:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:11:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:11:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:12:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:12:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:13:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:13:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:14:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:14:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:15:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:15:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:16:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:16:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:17:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:17:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:18:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:18:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:19:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:19:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:20:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:20:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:21:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:21:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:22:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:22:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:23:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:23:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:24:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:24:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:25:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:25:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:26:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:26:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:27:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:27:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:28:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:28:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:29:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:29:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:30:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:30:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:31:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:31:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:32:00Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:32:30Z
,,1,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,unknown,0,2021-05-16T19:32:47Z

